Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
19;8367;rue;;Aubé;RUE AUBE;rue Aubé;04e;1875-02-10;1934-01-27;;Notre-Dame;;70;30;;quai de la Cité.;rue de Lutèce, 2.;;;Décret du 22 mai 1865.;;Dénommée partie de la place Louis Lépine par arrêté préfectoral du 27 janvier 1934.;Décret présidentiel du 10 février 1875. Précédemment rue de Rouen.;;Intégrée à la place Louis Lépine, une partie de l'emprise de la rue Aubé d'une largeur de 8,90 m a été déclassée par arrêté préfectoral du 22 mai 1962.;;Longe le tribunal de Commerce et a pris le nom d'Aubé, ancien président du tribunal de Commerce.;;;;
;7801;voie;;BL/12;VOIE BL/12;voie BL/12;12e;;1993-02-11;;Bercy;;;;;;;;;;;Dénommée rue George Gershwin par arrêté municipal du 11 février 1993.;;;;;;;;;
;7819;rue;de la;Blanche Oie;RUE DE LA BLANCHE OIE;rue de la Blanche Oie;;;;;;;;;;;;;;;;Actuellement partie de la rue du Four.;;;;;;;;;
;7823;barrière;;Blanche;BARRIERE BLANCHE;barrière Blanche;;;;;;;;;;;;;;;;Supprimé. Elle était située boul. de Clichy sur l'emplacement de la place Blanche. Elle a aussi porté le nom de barrière de la Croix Blanche.;;;;;;;;;
;8391;passage;des;Arts;PASSAGE DES ARTS;passage des Arts;;;;;;;;;;;;;;;;Supprimé en 1942. Commençait av. Frédéric Passy (Supprimé.), finissait pas. Thierry (Supprimé.).;;;;;;;;;
;8415;rue;des;Armuriers;RUE DES ARMURIERS;rue des Armuriers;;;;;;;;;;;;;;;;Voir : Heaumerie (rue de la).;;;;;;;;;
;7842;place;de;Birague;PLACE DE BIRAGUE;place de Birague;04e;;;;Saint-Gervais;;;;;;;;;;;On appelait ainsi l'élargissement de la rue Saint-Antoine, en face de l'église Saint-Paul-Saint-Louis. Elle avait précédemment porté le nom de Sainte-Catherine. Pendant la Révolution, c'était la place Catherine.;;;;;;;;;
;8473;rue;;Appert;RUE APPERT;rue Appert;;;;;;;;;;;;;;;;Actuellement rue du Général Appert.;;;;;;;;;
;7873;voie;;BG/12;VOIE BG/12;voie BG/12;12e;;1991-06-11;;Picpus;;;;;;;;;;;Dénommée allée Vivaldi par arrêté municipal du 11 juin 1991.;;;;;;;;;
;8501;rue;;Anquetil;RUE ANQUETIL;rue Anquetil;;;;;;;;;;;;;;;;Actuellement partie de la rue du Roi de Sicile.;;;;;;;;;
;8509;rue;d';Anjou;RUE D'ANJOU;rue d'Anjou;;;;;;;;;;;;;;;;Supprimée lors de la construction de l'Hôtel de Soissons. Etait sur l'emplacement de la Bourse du Commerce.;;;;;;;;;
;7926;rue;de;Bercy;RUE DE BERCY;rue de Bercy;04e;;;;Saint-Gervais;;;;;;;;;;;Actuellement partie de la rue du Roi de Sicile.;;;;;;;;;
;8535;impasse;;Andrieux;IMPASSE ANDRIEUX;impasse Andrieux;;;;;;;;;;;;;;;;Actuellement villa Championnet.;;;;;;;;;
;8551;rue;de l';An Huit;RUE DE L'AN HUIT;rue de l'An Huit;;;;;;;;;;;;;;;;Actuellement rue Jean-Baptiste Pigalle.;;;;;;;;;
;7285;quai;de;Chaillot;QUAI DE CHAILLOT;quai de Chaillot;;;;;;;;;;;;;;;;Actuellement avenue de New York.;;;;;;;;;
;8012;passage;;Beaufort;PASSAGE BEAUFORT;passage Beaufort;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de Sébastopol. Il allait de la rue Quincampoix à l'imp. Beaufort. Anciennement ruelle derrière Saint-Leu et Saint-Gilles.;;;;;;;;;
;8013;impasse;;Beaufort;IMPASSE BEAUFORT;impasse Beaufort;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de Sébastopol. Elle était située pas. Beaufort.;;;;;;;;;
