houseNumberGeomWKT,houseNumberId,houseNumberLabel
"POINT (2.366245 48.852757)",https://www.openstreetmap.org/node/10014255683,"6"
"POINT (2.379682 48.857066)",https://www.openstreetmap.org/node/10036143580,"170"
"POINT (2.379703 48.857112)",https://www.openstreetmap.org/node/10036143581,"172"
"POINT (2.379652 48.857014)",https://www.openstreetmap.org/node/10036143582,"170"
"POINT (2.378607 48.855203)",https://www.openstreetmap.org/node/10036169908,"146"
"POINT (2.378272 48.854603)",https://www.openstreetmap.org/node/10036169910,"138"
"POINT (2.378461 48.854951)",https://www.openstreetmap.org/node/10036169911,"142"
"POINT (2.378639 48.855257)",https://www.openstreetmap.org/node/10036169912,"150"
"POINT (2.379091 48.856041)",https://www.openstreetmap.org/node/10036175192,"156"
"POINT (2.379013 48.855897)",https://www.openstreetmap.org/node/10036175193,"156"
"POINT (2.383187 48.850555)",https://www.openstreetmap.org/node/10045664638,"113"
"POINT (2.383755 48.851262)",https://www.openstreetmap.org/node/1005646330,"9"
"POINT (2.361294 48.85304)",https://www.openstreetmap.org/node/10057881117,"8"
"POINT (2.367239 48.853941)",https://www.openstreetmap.org/node/10083375264,"3"
"POINT (2.375712 48.849755)",https://www.openstreetmap.org/node/10120799993,"15"
"POINT (2.381136 48.849946)",https://www.openstreetmap.org/node/10132701029,"45"
"POINT (2.388003 48.848237)",https://www.openstreetmap.org/node/10146695529,"17"
"POINT (2.374892 48.85319)",https://www.openstreetmap.org/node/10214644543,"23"
"POINT (2.374293 48.852961)",https://www.openstreetmap.org/node/10217237313,"51"
"POINT (2.375927 48.854803)",https://www.openstreetmap.org/node/10218195005,"20"
"POINT (2.374562 48.853579)",https://www.openstreetmap.org/node/10218226620,"8"
"POINT (2.363169 48.855015)",https://www.openstreetmap.org/node/10223617304,"3"
"POINT (2.373551 48.851843)",https://www.openstreetmap.org/node/10249520221,"64"
"POINT (2.383821 48.844927)",https://www.openstreetmap.org/node/10253520737,"2"
"POINT (2.37287 48.852451)",https://www.openstreetmap.org/node/10253537378,"2"
"POINT (2.372768 48.852515)",https://www.openstreetmap.org/node/10253537379,"1"
"POINT (2.365788 48.853554)",https://www.openstreetmap.org/node/10276272397,"21"
"POINT (2.363394 48.854502)",https://www.openstreetmap.org/node/10276272398,"66"
"POINT (2.371932 48.852528)",https://www.openstreetmap.org/node/10276669453,"33"
"POINT (2.375301 48.85443)",https://www.openstreetmap.org/node/10312682881,"14"
"POINT (2.379007 48.856784)",https://www.openstreetmap.org/node/10313168429,"1"
"POINT (2.378208 48.856473)",https://www.openstreetmap.org/node/10313197026,"52"
"POINT (2.378302 48.85637)",https://www.openstreetmap.org/node/10313197027,"48"
"POINT (2.378383 48.855989)",https://www.openstreetmap.org/node/10313197028,"43"
"POINT (2.37488 48.849921)",https://www.openstreetmap.org/node/10316420706,"80"
"POINT (2.375518 48.850504)",https://www.openstreetmap.org/node/10316606597,"88"
"POINT (2.376137 48.850923)",https://www.openstreetmap.org/node/10316606598,"80"
"POINT (2.377335 48.853031)",https://www.openstreetmap.org/node/10316646285,"116"
"POINT (2.376802 48.852049)",https://www.openstreetmap.org/node/10316646286,"100"
"POINT (2.376678 48.851868)",https://www.openstreetmap.org/node/10316646288,"98"
"POINT (2.376504 48.851577)",https://www.openstreetmap.org/node/10316646289,"92"
"POINT (2.377254 48.854693)",https://www.openstreetmap.org/node/10316780375,"8"
"POINT (2.375638 48.847508)",https://www.openstreetmap.org/node/1034179325,"14"
"POINT (2.376637 48.851281)",https://www.openstreetmap.org/node/10566170370,"113"
"POINT (2.380385 48.847737)",https://www.openstreetmap.org/node/1056728714,"19"
"POINT (2.382928 48.850531)",https://www.openstreetmap.org/node/10591225396,"209"
"POINT (2.382996 48.850536)",https://www.openstreetmap.org/node/10591225397,"209"
"POINT (2.386848 48.845629)",https://www.openstreetmap.org/node/10609164023,13 D4
"POINT (2.374726 48.853779)",https://www.openstreetmap.org/node/10658404572,"8"
"POINT (2.373064 48.853986)",https://www.openstreetmap.org/node/10658448609,"4"
"POINT (2.373181 48.854082)",https://www.openstreetmap.org/node/10658448610,"6"
"POINT (2.373366 48.854147)",https://www.openstreetmap.org/node/10658448611,"15"
"POINT (2.370817 48.848787)",https://www.openstreetmap.org/node/10676089311,"41"
"POINT (2.379955 48.853549)",https://www.openstreetmap.org/node/10676127805,"65"
"POINT (2.389031 48.850517)",https://www.openstreetmap.org/node/10678978971,"53"
"POINT (2.383424 48.853288)",https://www.openstreetmap.org/node/10685112318,"14"
"POINT (2.360413 48.852201)",https://www.openstreetmap.org/node/10716397434,"14"
"POINT (2.385282 48.846724)",https://www.openstreetmap.org/node/10729018906,"7"
"POINT (2.387928 48.850494)",https://www.openstreetmap.org/node/10730051506,"41"
"POINT (2.381219 48.856648)",https://www.openstreetmap.org/node/10744913900,"52"
"POINT (2.380289 48.848856)",https://www.openstreetmap.org/node/10750312126,"50"
"POINT (2.380527 48.848553)",https://www.openstreetmap.org/node/10750312127,"46"
"POINT (2.380462 48.848643)",https://www.openstreetmap.org/node/10750312128,"48"
"POINT (2.380414 48.848166)",https://www.openstreetmap.org/node/10750312129,"45"
"POINT (2.380474 48.848106)",https://www.openstreetmap.org/node/10750312130,"43"
"POINT (2.38037 48.848749)",https://www.openstreetmap.org/node/10750312131,"50"
"POINT (2.380596 48.848449)",https://www.openstreetmap.org/node/10750477447,"44"
"POINT (2.379912 48.849324)",https://www.openstreetmap.org/node/10750477448,"58"
"POINT (2.379794 48.849454)",https://www.openstreetmap.org/node/10750477449,"62"
"POINT (2.374961 48.855075)",https://www.openstreetmap.org/node/10763542635,"22"
"POINT (2.375339 48.854346)",https://www.openstreetmap.org/node/10763554095,"14"
"POINT (2.375135 48.85475)",https://www.openstreetmap.org/node/10763554096,"16"
"POINT (2.375172 48.854649)",https://www.openstreetmap.org/node/10763554097,"18"
"POINT (2.373274 48.852142)",https://www.openstreetmap.org/node/10786954528,"55"
"POINT (2.381744 48.846498)",https://www.openstreetmap.org/node/1079210602,"23"
"POINT (2.364991 48.854531)",https://www.openstreetmap.org/node/10795371547,"9"
"POINT (2.365005 48.854562)",https://www.openstreetmap.org/node/10795371548,"9"
"POINT (2.365025 48.854619)",https://www.openstreetmap.org/node/10795371549,"11"
"POINT (2.365356 48.854823)",https://www.openstreetmap.org/node/10795391247,"16"
"POINT (2.365343 48.854784)",https://www.openstreetmap.org/node/10795391248,"16"
"POINT (2.365289 48.854659)",https://www.openstreetmap.org/node/10795391249,"16"
"POINT (2.365277 48.854627)",https://www.openstreetmap.org/node/10795391250,"16"
"POINT (2.365256 48.854584)",https://www.openstreetmap.org/node/10795391251,"14"
"POINT (2.376162 48.844909)",https://www.openstreetmap.org/node/10801452366,"5"
"POINT (2.376768 48.852107)",https://www.openstreetmap.org/node/10805568910,100 bis
"POINT (2.376054 48.850415)",https://www.openstreetmap.org/node/10805568966,12 bis
"POINT (2.366001 48.854689)",https://www.openstreetmap.org/node/10814133052,"6"
"POINT (2.38198 48.856462)",https://www.openstreetmap.org/node/10824410106,"144"
"POINT (2.381289 48.856858)",https://www.openstreetmap.org/node/10824705453,"136"
"POINT (2.380737 48.857017)",https://www.openstreetmap.org/node/10824705454,"51"
"POINT (2.38084 48.856852)",https://www.openstreetmap.org/node/10824705457,"49"
"POINT (2.381101 48.856439)",https://www.openstreetmap.org/node/10824705458,"43"
"POINT (2.38071 48.857073)",https://www.openstreetmap.org/node/10824705459,"51"
"POINT (2.38088 48.856799)",https://www.openstreetmap.org/node/10824705460,"47"
"POINT (2.381297 48.856107)",https://www.openstreetmap.org/node/10824705461,"37"
