houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10002259617,88,POINT(2.391561 48.868841)
https://www.openstreetmap.org/node/10006834003,51b,POINT(2.351481 48.885009)
https://www.openstreetmap.org/node/10006834004,49b,POINT(2.351818 48.884959)
https://www.openstreetmap.org/node/10006834005,51,POINT(2.351620 48.884994)
https://www.openstreetmap.org/node/10009020008,7,POINT(2.355451 48.889063)
https://www.openstreetmap.org/node/10011835155,85,POINT(2.347905 48.891745)
https://www.openstreetmap.org/node/10011872875,85,POINT(2.347928 48.891741)
https://www.openstreetmap.org/node/10016468817,28,POINT(2.372083 48.896774)
https://www.openstreetmap.org/node/10019649517,22,POINT(2.327351 48.896623)
https://www.openstreetmap.org/node/10024967940,14-16,POINT(2.402498 48.856633)
https://www.openstreetmap.org/node/10025753921,97,POINT(2.334604 48.890441)
https://www.openstreetmap.org/node/10035985239,105,POINT(2.400296 48.855630)
https://www.openstreetmap.org/node/10048798817,20,POINT(2.350142 48.889862)
https://www.openstreetmap.org/node/10049022961,11,POINT(2.292342 48.876386)
https://www.openstreetmap.org/node/10049022974,5,POINT(2.290153 48.876363)
https://www.openstreetmap.org/node/10049022975,45 ter,POINT(2.293358 48.877899)
https://www.openstreetmap.org/node/10049022987,30,POINT(2.291748 48.876869)
https://www.openstreetmap.org/node/10049022994,59,POINT(2.291673 48.879049)
https://www.openstreetmap.org/node/10050032640,4,POINT(2.288999 48.876577)
https://www.openstreetmap.org/node/10066673478,72,POINT(2.382542 48.872327)
https://www.openstreetmap.org/node/10067196230,32,POINT(2.340430 48.885045)
https://www.openstreetmap.org/node/10069223495,2 bis,POINT(2.368940 48.899890)
https://www.openstreetmap.org/node/10075407217,45,POINT(2.380271 48.872256)
https://www.openstreetmap.org/node/10078448617,151,POINT(2.380162 48.887579)
https://www.openstreetmap.org/node/10078452575,3 bis,POINT(2.389486 48.869036)
https://www.openstreetmap.org/node/10078459527,101 bis,POINT(2.391437 48.869185)
https://www.openstreetmap.org/node/10078459533,117 A,POINT(2.393211 48.869614)
https://www.openstreetmap.org/node/10084415738,18,POINT(2.338784 48.883402)
https://www.openstreetmap.org/node/10090476818,190,POINT(2.296783 48.885627)
https://www.openstreetmap.org/node/10098553369,67,POINT(2.357435 48.897983)
https://www.openstreetmap.org/node/10098553372,39,POINT(2.356452 48.897105)
https://www.openstreetmap.org/node/10098553373,47,POINT(2.356253 48.897621)
https://www.openstreetmap.org/node/10098553375,57,POINT(2.356522 48.897896)
https://www.openstreetmap.org/node/10098553377,51,POINT(2.356154 48.897863)
https://www.openstreetmap.org/node/10101992894,4,POINT(2.369775 48.899365)
https://www.openstreetmap.org/node/10101992895,5,POINT(2.369694 48.899231)
https://www.openstreetmap.org/node/10101992896,3,POINT(2.369853 48.899133)
https://www.openstreetmap.org/node/10101992897,1,POINT(2.370040 48.899016)
https://www.openstreetmap.org/node/10102883773,98,POINT(2.341789 48.882678)
https://www.openstreetmap.org/node/10103790788,38,POINT(2.366809 48.899848)
https://www.openstreetmap.org/node/10103790793,13,POINT(2.368502 48.899747)
https://www.openstreetmap.org/node/10107075169,5 ter,POINT(2.361475 48.893654)
https://www.openstreetmap.org/node/10108347883,9,POINT(2.343089 48.893052)
https://www.openstreetmap.org/node/10108347884,11,POINT(2.342959 48.893134)
https://www.openstreetmap.org/node/10109829320,45,POINT(2.397412 48.878774)
https://www.openstreetmap.org/node/10112208736,52,POINT(2.323318 48.891695)
https://www.openstreetmap.org/node/10121400569,44,POINT(2.365743 48.899457)
https://www.openstreetmap.org/node/10121519326,3,POINT(2.370065 48.899425)
https://www.openstreetmap.org/node/10121519327,5,POINT(2.370063 48.899479)
https://www.openstreetmap.org/node/10121519328,7,POINT(2.370054 48.899681)
https://www.openstreetmap.org/node/10121587823,18,POINT(2.368604 48.899219)
https://www.openstreetmap.org/node/10121587824,16,POINT(2.368752 48.899323)
https://www.openstreetmap.org/node/10121587826,14,POINT(2.368932 48.899449)
https://www.openstreetmap.org/node/10121587870,10,POINT(2.369267 48.899615)
https://www.openstreetmap.org/node/10121805194,10,POINT(2.367747 48.899424)
https://www.openstreetmap.org/node/10121805195,6,POINT(2.368019 48.899254)
https://www.openstreetmap.org/node/10121805196,8,POINT(2.367956 48.899293)
https://www.openstreetmap.org/node/10121805197,7,POINT(2.367807 48.899202)
https://www.openstreetmap.org/node/10141424055,34,POINT(2.366871 48.898781)
https://www.openstreetmap.org/node/10141424124,11,POINT(2.367407 48.899400)
https://www.openstreetmap.org/node/10141424137,16,POINT(2.368765 48.898818)
https://www.openstreetmap.org/node/10141424145,4,POINT(2.369811 48.898839)
https://www.openstreetmap.org/node/10148153984,40,POINT(2.366210 48.898768)
https://www.openstreetmap.org/node/10152514218,6,POINT(2.337543 48.882920)
https://www.openstreetmap.org/node/10153384331,50,POINT(2.364943 48.898743)
