id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
75103_9506_00024;75103_9506;24;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653373.12;6862020.46;2.364523;48.856533;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00026;75103_9506;26;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653373.91;6862037.14;2.364532;48.856683;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00028;75103_9506;28;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653374.71;6862054.59;2.364541;48.85684;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00029;75103_9506;29;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653354.54;6862027.51;2.364269;48.856595;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00030;75103_9506;30;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653375.41;6862068.48;2.364549;48.856965;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00031;75103_9506;31;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653357.02;6862035.16;2.364302;48.856664;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00032;75103_9506;32;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653376.55;6862091.05;2.364562;48.857168;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00033;75103_9506;33;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653357.29;6862040.94;2.364305;48.856716;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00035;75103_9506;35;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653357.82;6862051.94;2.364311;48.856815;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00037;75103_9506;37;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653358.42;6862072.51;2.364317;48.857;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9506_00039;75103_9506;39;;Rue de Turenne;75003;75103;Paris 3e Arrondissement;;;653359.19;6862094.52;2.364325;48.857198;parcelle;;;PARIS;RUE DE TURENNE;commune;commune;vrai;
75103_9382_00031;75103_9382;31;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653571.61;6861966.16;2.367234;48.856059;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00033;75103_9382;33;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653573.37;6862003.84;2.367254;48.856398;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00046;75103_9382;46;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653582.65;6861961.18;2.367385;48.856015;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00048;75103_9382;48;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653582.93;6861969.29;2.367388;48.856088;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00050;75103_9382;50;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653583.34;6861984.19;2.367392;48.856222;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00052;75103_9382;52;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653584.59;6862002.2;2.367407;48.856384;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00054;75103_9382;54;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653584.82;6862013.09;2.367409;48.856482;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00056;75103_9382;56;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653584.5;6862027.55;2.367403;48.856612;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00058;75103_9382;58;;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653584.97;6862041.22;2.367408;48.856735;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00031_t;75103_9382;31;t;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653572.16;6861990.17;2.367239;48.856275;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00031_b;75103_9382;31;b;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653571.85;6861978.61;2.367236;48.856171;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_9382_00033_b;75103_9382;33;b;Rue des Tournelles;75003;75103;Paris 3e Arrondissement;;;653573.71;6862045.09;2.367254;48.856769;parcelle;;;PARIS;RUE DES TOURNELLES;commune;commune;vrai;
75103_0756_00001;75103_0756;1;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653467.01;6862025.38;2.365802;48.856584;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00002;75103_0756;2;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653476.25;6861997.5;2.365931;48.856334;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00003;75103_0756;3;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653471.7;6862043.24;2.365864;48.856745;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00004;75103_0756;4;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653483.83;6862027.8;2.366031;48.856607;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00005;75103_0756;5;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653477.37;6862063.77;2.365939;48.85693;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00006;75103_0756;6;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653486.86;6862040.23;2.366071;48.856719;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00008;75103_0756;8;;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653492.62;6862062.42;2.366147;48.856919;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_0756_00006_b;75103_0756;6;b;Rue de Béarn;75003;75103;Paris 3e Arrondissement;;;653488.15;6862045.22;2.366088;48.856764;parcelle;;;PARIS;RUE DE BEARN;commune;commune;vrai;
75103_3820_00002;75103_3820;2;;Rue des Francs Bourgeois;75003;75103;Paris 3e Arrondissement;;;653383;6862008.37;2.364659;48.856425;parcelle;;;PARIS;RUE DES FRANCS BOURGEOIS;commune;commune;vrai;
75103_3820_00004;75103_3820;4;;Rue des Francs Bourgeois;75003;75103;Paris 3e Arrondissement;;;653341.75;6862025.16;2.364095;48.856573;parcelle;;;PARIS;RUE DES FRANCS BOURGEOIS;commune;commune;vrai;
75103_3820_00006;75103_3820;6;;Rue des Francs Bourgeois;75003;75103;Paris 3e Arrondissement;;;653328.52;6862031.27;2.363914;48.856627;parcelle;;;PARIS;RUE DES FRANCS BOURGEOIS;commune;commune;vrai;
75103_3820_00002_b;75103_3820;2;b;Rue des Francs Bourgeois;75003;75103;Paris 3e Arrondissement;;;653373.99;6862010.56;2.364536;48.856444;parcelle;;;PARIS;RUE DES FRANCS BOURGEOIS;commune;commune;vrai;
75103_3820_00002_t;75103_3820;2;t;Rue des Francs Bourgeois;75003;75103;Paris 3e Arrondissement;;;653348.77;6862021.88;2.364191;48.856544;parcelle;;;PARIS;RUE DES FRANCS BOURGEOIS;commune;commune;vrai;
75103_3698_00001;75103_3698;1;;Rue du Foin;75003;75103;Paris 3e Arrondissement;;;653460.62;6862053.01;2.365712;48.856832;parcelle;;;PARIS;RUE DU FOIN;commune;commune;vrai;
75103_3698_00002;75103_3698;2;;Rue du Foin;75003;75103;Paris 3e Arrondissement;;;653465.24;6862061.09;2.365774;48.856905;parcelle;;;PARIS;RUE DU FOIN;commune;commune;vrai;
