houseNumberGeomWKT,houseNumberId,houseNumberLabel
"POINT (2.365356 48.854823)",https://www.openstreetmap.org/node/10795391247,"16"
"POINT (2.365343 48.854784)",https://www.openstreetmap.org/node/10795391248,"16"
"POINT (2.365289 48.854659)",https://www.openstreetmap.org/node/10795391249,"16"
"POINT (2.365277 48.854627)",https://www.openstreetmap.org/node/10795391250,"16"
"POINT (2.365256 48.854584)",https://www.openstreetmap.org/node/10795391251,"14"
"POINT (2.366001 48.854689)",https://www.openstreetmap.org/node/10814133052,"6"
"POINT (2.365463 48.854936)",https://www.openstreetmap.org/node/10832878792,2 bis
"POINT (2.364331 48.855129)",https://www.openstreetmap.org/node/10832878800,"7"
"POINT (2.36611 48.856374)",https://www.openstreetmap.org/node/11071168963,"28"
"POINT (2.364161 48.855422)",https://www.openstreetmap.org/node/13566776930,"9"
"POINT (2.367265 48.856688)",https://www.openstreetmap.org/node/2376889302,"2"
"POINT (2.366136 48.854799)",https://www.openstreetmap.org/node/254033221,"6"
"POINT (2.367389 48.855578)",https://www.openstreetmap.org/node/3058148650,"38"
"POINT (2.367403 48.855843)",https://www.openstreetmap.org/node/3058148651,"44"
"POINT (2.367214 48.856707)",https://www.openstreetmap.org/node/3213130981,"2"
"POINT (2.367213 48.856019)",https://www.openstreetmap.org/node/3240796737,"6"
"POINT (2.367384 48.854514)",https://www.openstreetmap.org/node/3458163913,"16"
"POINT (2.367412 48.856225)",https://www.openstreetmap.org/node/3731891001,"50"
"POINT (2.365472 48.856345)",https://www.openstreetmap.org/node/4002415349,"25"
"POINT (2.366531 48.85537)",https://www.openstreetmap.org/node/4281854742,"14"
"POINT (2.366625 48.856164)",https://www.openstreetmap.org/node/5651889563,"24"
"POINT (2.367081 48.855913)",https://www.openstreetmap.org/node/586568216,"9"
"POINT (2.363202 48.855278)",https://www.openstreetmap.org/node/703460732,"4"
"POINT (2.363342 48.855499)",https://www.openstreetmap.org/node/703460742,"10"
"POINT (2.363136 48.855085)",https://www.openstreetmap.org/node/703460749,"1"
"POINT (2.363045 48.85541)",https://www.openstreetmap.org/node/703460754,"4"
"POINT (2.363183 48.855147)",https://www.openstreetmap.org/node/703460760,"2"
"POINT (2.363292 48.85542)",https://www.openstreetmap.org/node/703460764,"8"
"POINT (2.363496 48.855449)",https://www.openstreetmap.org/node/703460767,"13"
"POINT (2.36339 48.855308)",https://www.openstreetmap.org/node/703460773,"9"
"POINT (2.363182 48.855382)",https://www.openstreetmap.org/node/703460778,"3"
"POINT (2.362991 48.855204)",https://www.openstreetmap.org/node/703460782,"4"
"POINT (2.363151 48.855201)",https://www.openstreetmap.org/node/703460799,"2"
"POINT (2.363339 48.85524)",https://www.openstreetmap.org/node/703460802,"7"
"POINT (2.363284 48.855167)",https://www.openstreetmap.org/node/703460827,"5"
