houseNumberGeomWKT,houseNumberId,houseNumberLabel
POINT (2.344126 48.864272),https://www.openstreetmap.org/node/10000005003,"68"
POINT (2.347641 48.863663),https://www.openstreetmap.org/node/10000034353,"5"
POINT (2.348052 48.863754),https://www.openstreetmap.org/node/10000094254,"7"
POINT (2.348035 48.863729),https://www.openstreetmap.org/node/10000094255,"7"
POINT (2.364143 48.877365),https://www.openstreetmap.org/node/10000522801,5 A
POINT (2.364664 48.877925),https://www.openstreetmap.org/node/10000522810,15 ter
POINT (2.338981 48.865835),https://www.openstreetmap.org/node/10001472206,"107"
POINT (2.338995 48.865862),https://www.openstreetmap.org/node/10001472207,"106"
POINT (2.33901 48.865889),https://www.openstreetmap.org/node/10001472208,"105"
POINT (2.339024 48.865915),https://www.openstreetmap.org/node/10001472209,"104"
POINT (2.337921 48.863885),https://www.openstreetmap.org/node/10003949748,"180"
POINT (2.308685 48.848886),https://www.openstreetmap.org/node/10004278718,"30"
POINT (2.37858 48.863785),https://www.openstreetmap.org/node/10004711317,"81"
POINT (2.345609 48.863678),https://www.openstreetmap.org/node/10005223529,"1"
POINT (2.328894 48.854705),https://www.openstreetmap.org/node/10008414416,"187"
POINT (2.337151 48.865108),https://www.openstreetmap.org/node/10009009099,"34"
POINT (2.337137 48.86508),https://www.openstreetmap.org/node/10009009100,"33"
POINT (2.337123 48.865052),https://www.openstreetmap.org/node/10009009101,"32"
POINT (2.337109 48.865025),https://www.openstreetmap.org/node/10009009102,"31"
POINT (2.337095 48.864997),https://www.openstreetmap.org/node/10009009103,"30"
POINT (2.337081 48.864969),https://www.openstreetmap.org/node/10009009104,"29"
POINT (2.337066 48.864942),https://www.openstreetmap.org/node/10009009105,"28"
POINT (2.337052 48.864914),https://www.openstreetmap.org/node/10009009106,"27"
POINT (2.337038 48.864886),https://www.openstreetmap.org/node/10009009107,"26"
POINT (2.337024 48.864858),https://www.openstreetmap.org/node/10009009108,"25"
POINT (2.33701 48.864831),https://www.openstreetmap.org/node/10009009109,"24"
POINT (2.336995 48.864803),https://www.openstreetmap.org/node/10009009110,"23"
POINT (2.336981 48.864775),https://www.openstreetmap.org/node/10009009111,"22"
POINT (2.336967 48.864748),https://www.openstreetmap.org/node/10009009112,"21"
POINT (2.336953 48.86472),https://www.openstreetmap.org/node/10009009113,"20"
POINT (2.336939 48.864692),https://www.openstreetmap.org/node/10009009114,"19"
POINT (2.336925 48.864665),https://www.openstreetmap.org/node/10009009115,"18"
POINT (2.33691 48.864637),https://www.openstreetmap.org/node/10009009116,"17"
POINT (2.336896 48.864609),https://www.openstreetmap.org/node/10009033417,"16"
POINT (2.336882 48.864582),https://www.openstreetmap.org/node/10009033418,"15"
POINT (2.336868 48.864554),https://www.openstreetmap.org/node/10009033419,"14"
POINT (2.336854 48.864526),https://www.openstreetmap.org/node/10009033420,"13"
POINT (2.33684 48.864499),https://www.openstreetmap.org/node/10009033421,"12"
POINT (2.336825 48.864471),https://www.openstreetmap.org/node/10009033422,"11"
POINT (2.336811 48.864443),https://www.openstreetmap.org/node/10009033423,"10"
POINT (2.336684 48.864194),https://www.openstreetmap.org/node/10009033424,"1"
POINT (2.336698 48.864221),https://www.openstreetmap.org/node/10009033425,"2"
POINT (2.336712 48.864249),https://www.openstreetmap.org/node/10009033426,"3"
POINT (2.336726 48.864277),https://www.openstreetmap.org/node/10009033427,"4"
POINT (2.33674 48.864305),https://www.openstreetmap.org/node/10009033428,"5"
POINT (2.336754 48.864332),https://www.openstreetmap.org/node/10009033429,"6"
POINT (2.336769 48.86436),https://www.openstreetmap.org/node/10009033430,"7"
POINT (2.336783 48.864388),https://www.openstreetmap.org/node/10009033431,"8"
POINT (2.336797 48.864415),https://www.openstreetmap.org/node/10009033432,"9"
POINT (2.337615 48.866021),https://www.openstreetmap.org/node/10009398971,"69"
POINT (2.337734 48.866255),https://www.openstreetmap.org/node/10009398972,"78"
POINT (2.337721 48.866229),https://www.openstreetmap.org/node/10009398973,"77"
POINT (2.337708 48.866203),https://www.openstreetmap.org/node/10009398974,"76"
POINT (2.337694 48.866177),https://www.openstreetmap.org/node/10009398975,"75"
POINT (2.337681 48.866151),https://www.openstreetmap.org/node/10009398976,"74"
POINT (2.337668 48.866125),https://www.openstreetmap.org/node/10009398977,"73"
POINT (2.337655 48.866099),https://www.openstreetmap.org/node/10009398978,"72"
POINT (2.337641 48.866073),https://www.openstreetmap.org/node/10009398979,"71"
POINT (2.337628 48.866047),https://www.openstreetmap.org/node/10009398980,"70"
POINT (2.337602 48.865994),https://www.openstreetmap.org/node/10009398981,"68"
POINT (2.337588 48.865968),https://www.openstreetmap.org/node/10009398982,"67"
POINT (2.337575 48.865942),https://www.openstreetmap.org/node/10009398983,"66"
POINT (2.337562 48.865916),https://www.openstreetmap.org/node/10009398984,"65"
POINT (2.337549 48.86589),https://www.openstreetmap.org/node/10009398985,"64"
POINT (2.337535 48.865864),https://www.openstreetmap.org/node/10009398986,"63"
POINT (2.337522 48.865838),https://www.openstreetmap.org/node/10009398987,"62"
POINT (2.337509 48.865812),https://www.openstreetmap.org/node/10009398988,"61"
POINT (2.337496 48.865786),https://www.openstreetmap.org/node/10009398989,"60"
POINT (2.337482 48.86576),https://www.openstreetmap.org/node/10009398990,"59"
POINT (2.337469 48.865734),https://www.openstreetmap.org/node/10009398991,"58"
POINT (2.337456 48.865708),https://www.openstreetmap.org/node/10009398992,"57"
POINT (2.337443 48.865682),https://www.openstreetmap.org/node/10009398993,"56"
